2026-03-29 12:14:20,310 | INFO     | qushield.extended_discovery | ASN lookup successful for 1.7.178.30: AS9583
2026-03-29 12:14:22,178 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.215: AS137130
2026-03-29 12:14:22,180 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:22,192 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.215: AS137130
2026-03-29 12:14:22,193 | INFO     | qushield.extended_discovery | Scanning 7 ports on atmmonitoring.pnb.bank.in
2026-03-29 12:14:27,201 | INFO     | qushield.extended_discovery | Found 1 open ports on atmmonitoring.pnb.bank.in
2026-03-29 12:14:27,202 | INFO     | qushield.extended_discovery | Detected 1 services on atmmonitoring.pnb.bank.in
2026-03-29 12:14:27,215 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.215: AS137130
2026-03-29 12:14:27,494 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.26.98.137: AS18229
2026-03-29 12:14:27,495 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:27,508 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.26.98.137: AS18229
2026-03-29 12:14:27,508 | INFO     | qushield.extended_discovery | Scanning 7 ports on bbps.pnb.bank.in
2026-03-29 12:14:32,535 | INFO     | qushield.extended_discovery | Found 1 open ports on bbps.pnb.bank.in
2026-03-29 12:14:32,536 | INFO     | qushield.extended_discovery | Detected 1 services on bbps.pnb.bank.in
2026-03-29 12:14:32,549 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.26.98.137: AS18229
2026-03-29 12:14:32,828 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.233: AS137130
2026-03-29 12:14:32,829 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:32,841 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.233: AS137130
2026-03-29 12:14:32,841 | INFO     | qushield.extended_discovery | Scanning 7 ports on bcportal.pnbfikiosk.pnb.bank.in
2026-03-29 12:14:37,868 | INFO     | qushield.extended_discovery | Found 1 open ports on bcportal.pnbfikiosk.pnb.bank.in
2026-03-29 12:14:37,868 | INFO     | qushield.extended_discovery | Detected 1 services on bcportal.pnbfikiosk.pnb.bank.in
2026-03-29 12:14:37,880 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.233: AS137130
2026-03-29 12:14:38,139 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.212: AS137130
2026-03-29 12:14:38,140 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:38,152 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.212: AS137130
2026-03-29 12:14:38,152 | INFO     | qushield.extended_discovery | Scanning 7 ports on cbdcr.pnb.bank.in
2026-03-29 12:14:43,191 | INFO     | qushield.extended_discovery | Found 1 open ports on cbdcr.pnb.bank.in
2026-03-29 12:14:43,192 | INFO     | qushield.extended_discovery | Detected 1 services on cbdcr.pnb.bank.in
2026-03-29 12:14:43,207 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.212: AS137130
2026-03-29 12:14:43,208 | INFO     | qushield.output_collector | Extended discovery collection complete
2026-03-29 12:14:43,208 | INFO     | qushield.scanner | Starting TLS scan for 252 assets
2026-03-29 12:14:43,220 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:43,221 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:43,221 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:43,222 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:43,223 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:43,227 | INFO     | qushield.scanner | Testing connectivity to aafiu.pnb.bank.in:443
2026-03-29 12:14:43,229 | INFO     | qushield.scanner | Testing connectivity to ams.pnb.bank.in:443
2026-03-29 12:14:43,231 | INFO     | qushield.scanner | Testing connectivity to analytics.pnb.bank.in:443
2026-03-29 12:14:43,231 | INFO     | qushield.scanner | Testing connectivity to aafip.pnb.bank.in:443
2026-03-29 12:14:43,240 | ERROR    | qushield.scanner | Scan failed for api.pnb.bank.in:443: Could not resolve api.pnb.bank.in
2026-03-29 12:14:43,250 | INFO     | qushield.scanner | scan completed
2026-03-29 12:14:43,258 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:43,265 | INFO     | qushield.scanner | Testing connectivity to apicasa.pnb.bank.in:443
2026-03-29 12:14:48,282 | INFO     | qushield.scanner | scan completed
2026-03-29 12:14:48,284 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:48,290 | INFO     | qushield.scanner | Testing connectivity to apim.pnb.bank.in:443
2026-03-29 12:14:55,472 | INFO     | qushield.scanner | scan completed
2026-03-29 12:14:55,473 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:14:55,477 | INFO     | qushield.scanner | Testing connectivity to apitrk.pnb.bank.in:443
2026-03-29 12:15:02,628 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:02,629 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:02,634 | INFO     | qushield.scanner | Testing connectivity to applications.pnb.bank.in:443
2026-03-29 12:15:07,645 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:07,646 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:07,650 | INFO     | qushield.scanner | Testing connectivity to apply.creditcard.pnb.bank.in:443
2026-03-29 12:15:12,661 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:12,663 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:12,725 | INFO     | qushield.scanner | Testing connectivity to apps.pnb.bank.in:443
2026-03-29 12:15:17,735 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:17,736 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:17,741 | INFO     | qushield.scanner | Testing connectivity to apptrk.pnb.bank.in:443
2026-03-29 12:15:22,751 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:22,753 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:22,758 | INFO     | qushield.scanner | Testing connectivity to atmmonitoring.pnb.bank.in:443
2026-03-29 12:15:27,768 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:27,770 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:27,775 | INFO     | qushield.scanner | Testing connectivity to bbps.pnb.bank.in:443
2026-03-29 12:15:32,788 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:32,789 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:32,794 | INFO     | qushield.scanner | Testing connectivity to bcportal.pnbfikiosk.pnb.bank.in:443
2026-03-29 12:15:37,805 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:37,806 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:37,817 | ERROR    | qushield.scanner | Scan failed for bcportaluat.pnbfikiosk.pnb.bank.in:443: Could not resolve bcportaluat.pnbfikiosk.pnb.bank.in
2026-03-29 12:15:37,818 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:37,818 | INFO     | qushield.scanner | Starting TLS scan
